relationship_type,category,description,rank,suggested_wikidata_property,suggested_wikidata_label,suggested_wikidata_description,suggested_wikidata_type,score,confidence,query_used,method,review_status
STEPCHILD_OF,Familial,Person is stepchild of stepparent,1,P1780,school of,"for a creative work with author with a style influenced by the known author or circle, active in the same period, but a student or follower",http://wikiba.se/ontology#WikibaseItem,0.498,low,stepchild of,local_catalog_similarity,pending_review
STEPCHILD_OF,Familial,Person is stepchild of stepparent,2,P5872,smells of,what an item is said to smell like,http://wikiba.se/ontology#WikibaseItem,0.463,low,stepchild of,local_catalog_similarity,pending_review
STEPCHILD_OF,Familial,Person is stepchild of stepparent,3,P1531,hybrid of,parent of this hybrid breed or cultivar,http://wikiba.se/ontology#WikibaseItem,0.460,low,stepchild of,local_catalog_similarity,pending_review
STEPPARENT_OF,Familial,Stepparent of stepchild,1,P3448,stepparent,subject has the object as their stepparent,http://wikiba.se/ontology#WikibaseItem,0.689,medium,stepparent,local_catalog_similarity,pending_review
STEPPARENT_OF,Familial,Stepparent of stepchild,2,P1066,student of,person who has taught this person,http://wikiba.se/ontology#WikibaseItem,0.544,low,stepparent of,local_catalog_similarity,pending_review
STEPPARENT_OF,Familial,Stepparent of stepchild,3,P3205,patient of,was treated or studied as a patient by this person,http://wikiba.se/ontology#WikibaseItem,0.530,low,stepparent of,local_catalog_similarity,pending_review
UNCLE_OF,Familial,Uncle of person,1,P1776,circle of,"for unknown artists who lived in the same time as the named author in a similar style, possibly a follower or someone who had contact with the named artist",http://wikiba.se/ontology#WikibaseItem,0.522,low,uncle of,local_catalog_similarity,pending_review
UNCLE_OF,Familial,Uncle of person,2,P1830,owner of,entities owned by the subject,http://wikiba.se/ontology#WikibaseItem,0.498,low,uncle of,local_catalog_similarity,pending_review
UNCLE_OF,Familial,Uncle of person,3,P500,exclave of,territory is legally or politically attached to a main territory with which it is not physically contiguous because of surrounding alien territory. It may also be an enclave.,http://wikiba.se/ontology#WikibaseItem,0.497,low,uncle of,local_catalog_similarity,pending_review
DESIGNED_FOR,Functional,Purpose for which type was designed,1,P287,designed by,"person or organization which designed the object. For buildings use ""architect"" (Property:P84)",http://wikiba.se/ontology#WikibaseItem,0.614,low,designed for,local_catalog_similarity,pending_review
DESIGNED_FOR,Functional,Purpose for which type was designed,2,P3349,designed to carry,what the vehicle or class of vehicles is or was designed to carry,http://wikiba.se/ontology#WikibaseItem,0.577,low,designed for,local_catalog_similarity,pending_review
DESIGNED_FOR,Functional,Purpose for which type was designed,3,P13783,designed for handedness,hand(s) that this object is intended to be used with,http://wikiba.se/ontology#WikibaseItem,0.541,low,designed for,local_catalog_similarity,pending_review
EFFECTIVE_AGAINST,Functional,Type is effective against target,1,P7588,effective date,"date on which a statutory or administrative law or other official document comes into force. This date may differ for different sections of the law. This may also be retrospective, predating the date of enactment.",http://wikiba.se/ontology#Time,0.515,low,effective against,local_catalog_similarity,pending_review
EFFECTIVE_AGAINST,Functional,Type is effective against target,2,P6879,effective temperature,the temperature of a black body that would emit the same total amount of electromagnetic radiation as measured star or planet,http://wikiba.se/ontology#Quantity,0.426,low,effective against,local_catalog_similarity,pending_review
EFFECTIVE_AGAINST,Functional,Type is effective against target,3,P4176,effective firing range,distance within which a weapon can be used effectively,http://wikiba.se/ontology#Quantity,0.425,low,effective against,local_catalog_similarity,pending_review
INEFFECTIVE_AGAINST,Functional,Type is ineffective against target,1,P930,type of electrification,electrification system scheme and/or voltage,http://wikiba.se/ontology#WikibaseItem,0.357,low,Type is ineffective against target,local_catalog_similarity,pending_review
INEFFECTIVE_AGAINST,Functional,Type is ineffective against target,2,P840,narrative location,the narrative of the work is set in this location,http://wikiba.se/ontology#WikibaseItem,0.343,low,Type is ineffective against target,local_catalog_similarity,pending_review
INEFFECTIVE_AGAINST,Functional,Type is ineffective against target,3,P81,connecting line,railway line(s) subject is directly connected to,http://wikiba.se/ontology#WikibaseItem,0.342,low,Type is ineffective against target,local_catalog_similarity,pending_review
OPTIMAL_IN,Functional,Type is optimal in context/situation,1,P1344,participant in,"event in which a person, organization or creative work was/is a participant; inverse of P710 or P1923",http://wikiba.se/ontology#WikibaseItem,0.456,low,optimal in,local_catalog_similarity,pending_review
OPTIMAL_IN,Functional,Type is optimal in context/situation,2,P7600,primary note,most prominent note in a raga,http://wikiba.se/ontology#WikibaseItem,0.442,low,optimal in,local_catalog_similarity,pending_review
OPTIMAL_IN,Functional,Type is optimal in context/situation,3,P4515,Prisma ID,"identifier for a film (movie) or person, in prisma.de",http://wikiba.se/ontology#ExternalId,0.437,low,optimal in,local_catalog_similarity,pending_review
CAMPAIGN_IN,Geographic,Military campaign location,1,P1344,participant in,"event in which a person, organization or creative work was/is a participant; inverse of P710 or P1923",http://wikiba.se/ontology#WikibaseItem,0.426,low,campaign in,local_catalog_similarity,pending_review
CAMPAIGN_IN,Geographic,Military campaign location,2,P3306,ICAA rating,rating in the Spanish motion picture content rating system,http://wikiba.se/ontology#WikibaseItem,0.425,low,campaign in,local_catalog_similarity,pending_review
CAMPAIGN_IN,Geographic,Military campaign location,3,P9446,Our Campaigns race ID,ID for a race in the Our Campaigns political election database,http://wikiba.se/ontology#ExternalId,0.423,low,campaign in,local_catalog_similarity,pending_review
EXILED,Geographic,Person was exiled to place,1,P1656,unveiled by,"person who unveils a statue, sculpture, memorial or plaque, etc.",http://wikiba.se/ontology#WikibaseItem,0.376,low,Person was exiled to place,local_catalog_similarity,pending_review
EXILED,Geographic,Person was exiled to place,2,P13047,leased to,person or organisation that holds or was granted a lease on the subject,http://wikiba.se/ontology#WikibaseItem,0.352,low,Person was exiled to place,local_catalog_similarity,pending_review
EXILED,Geographic,Person was exiled to place,3,P157,killed by,person or organization who killed the subject,http://wikiba.se/ontology#WikibaseItem,0.347,low,Person was exiled to place,local_catalog_similarity,pending_review
EXILED_BY,Geographic,Place exiled person (jurisdiction),1,P1656,unveiled by,"person who unveils a statue, sculpture, memorial or plaque, etc.",http://wikiba.se/ontology#WikibaseItem,0.595,low,exiled by,local_catalog_similarity,pending_review
EXILED_BY,Geographic,Place exiled person (jurisdiction),2,P157,killed by,person or organization who killed the subject,http://wikiba.se/ontology#WikibaseItem,0.591,low,exiled by,local_catalog_similarity,pending_review
EXILED_BY,Geographic,Place exiled person (jurisdiction),3,P467,legislated by,indicates that an act or bill was passed by a legislature. The value can be a particular session of the legislature,http://wikiba.se/ontology#WikibaseItem,0.533,low,exiled by,local_catalog_similarity,pending_review
FLED_FROM,Geographic,Fled from location,1,P3452,inferred from,"statement added based on related statement found within the item, not the entity described by the item (to be used in a reference field)",http://wikiba.se/ontology#WikibaseItem,0.538,low,fled from,local_catalog_similarity,pending_review
FLED_FROM,Geographic,Fled from location,2,P4934,calculated from,value of the subject item cannot be measured directly or can be calculated from the following measurands or attributes,http://wikiba.se/ontology#WikibaseItem,0.503,low,fled from,local_catalog_similarity,pending_review
FLED_FROM,Geographic,Fled from location,3,P807,separated from,subject was founded or started by separating from identified object,http://wikiba.se/ontology#WikibaseItem,0.474,low,fled from,local_catalog_similarity,pending_review
FLED_TO,Geographic,Fled to location (exile/escape),1,P13047,leased to,person or organisation that holds or was granted a lease on the subject,http://wikiba.se/ontology#WikibaseItem,0.559,low,fled to,local_catalog_similarity,pending_review
FLED_TO,Geographic,Fled to location (exile/escape),2,P1040,film editor,"person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture",http://wikiba.se/ontology#WikibaseItem,0.498,low,fled to,local_catalog_similarity,pending_review
FLED_TO,Geographic,Fled to location (exile/escape),3,P3026,closed on,"exceptions to open days (P3025), usually special dates",http://wikiba.se/ontology#WikibaseItem,0.485,low,fled to,local_catalog_similarity,pending_review
LOCATION_OF,Geographic,Place is location of entity,1,P276,location,"location of the object, structure or event; use P131 to indicate the containing administrative entity, P8138 for statistical entities, or P706 for geographic entities; use P7153 for locations associated with the object",http://wikiba.se/ontology#WikibaseItem,0.671,low,location,local_catalog_similarity,pending_review
LOCATION_OF,Geographic,Place is location of entity,2,P1158,location of landing,location where the craft landed,http://wikiba.se/ontology#WikibaseItem,0.614,low,location of,local_catalog_similarity,pending_review
LOCATION_OF,Geographic,Place is location of entity,3,P5134,evaluation of,the subject finding is an evaluation or interpretation of the object attribute or test,http://wikiba.se/ontology#WikibaseItem,0.573,low,location of,local_catalog_similarity,pending_review
MIGRATED_FROM,Geographic,Group migrated from a place,1,P807,separated from,subject was founded or started by separating from identified object,http://wikiba.se/ontology#WikibaseItem,0.558,low,migrated from,local_catalog_similarity,pending_review
MIGRATED_FROM,Geographic,Group migrated from a place,2,P10754,distributed from,place or location where a good or service is distributed from,http://wikiba.se/ontology#WikibaseItem,0.554,low,migrated from,local_catalog_similarity,pending_review
MIGRATED_FROM,Geographic,Group migrated from a place,3,P6684,first attested from,to indicate the first ''known'' usage of a word,http://wikiba.se/ontology#WikibaseItem,0.535,low,migrated from,local_catalog_similarity,pending_review
MIGRATED_TO,Geographic,Group migrated to a place,1,P825,dedicated to,person or organization to whom the subject was dedicated,http://wikiba.se/ontology#WikibaseItem,0.534,low,migrated to,local_catalog_similarity,pending_review
MIGRATED_TO,Geographic,Group migrated to a place,2,P2210,relative to,qualifier: what a statement value is relative to,http://wikiba.se/ontology#WikibaseItem,0.513,low,migrated to,local_catalog_similarity,pending_review
MIGRATED_TO,Geographic,Group migrated to a place,3,P7084,related category,Wikimedia category is related to this item,http://wikiba.se/ontology#WikibaseItem,0.474,low,migrated to,local_catalog_similarity,pending_review
DECORATED_WITH,Honorific,Person decorated with award,1,P11633,colocated with,"event sharing location, facility or organization with another, typically larger event",http://wikiba.se/ontology#WikibaseItem,0.588,low,decorated with,local_catalog_similarity,pending_review
DECORATED_WITH,Honorific,Person decorated with award,2,P8956,compatible with,"this work, product, object or standard can interact with another work, product, object or standard",http://wikiba.se/ontology#WikibaseItem,0.526,low,decorated with,local_catalog_similarity,pending_review
DECORATED_WITH,Honorific,Person decorated with award,3,P4082,captured with,"equipment (e.g. model of camera, lens, microphone), used to capture this image, video, audio, or data",http://wikiba.se/ontology#WikibaseItem,0.500,low,decorated with,local_catalog_similarity,pending_review
DECORATION_OF,Honorific,Decoration was awarded to person,1,P3701,incarnation of,incarnation of another religious or supernatural being,http://wikiba.se/ontology#WikibaseItem,0.556,low,decoration of,local_catalog_similarity,pending_review
DECORATION_OF,Honorific,Decoration was awarded to person,2,P399,companion of,two or more astronomic bodies of the same type relating to each other,http://wikiba.se/ontology#WikibaseItem,0.540,low,decoration of,local_catalog_similarity,pending_review
DECORATION_OF,Honorific,Decoration was awarded to person,3,P1425,ecoregion (WWF),ecoregion of the item (choose from WWF's list),http://wikiba.se/ontology#WikibaseItem,0.520,low,decoration of,local_catalog_similarity,pending_review
GRANTED_TITLE,Honorific,Title was granted to person,1,P97,noble title,titles held by the person,http://wikiba.se/ontology#WikibaseItem,0.538,low,granted title,local_catalog_similarity,pending_review
GRANTED_TITLE,Honorific,Title was granted to person,2,P6359,Crew United title ID,identifier for films and series on Crew united,http://wikiba.se/ontology#ExternalId,0.462,low,granted title,local_catalog_similarity,pending_review
GRANTED_TITLE,Honorific,Title was granted to person,3,P5460,grants,"confers degree, honor, award, prize, title, certificate or medal denoting achievement to a person or organization",http://wikiba.se/ontology#WikibaseItem,0.429,low,granted title,local_catalog_similarity,pending_review
HONORED,Honorific,Honored or praised person,1,P8001,endorsed by,public support given by a person or organization to a political or other campaign,http://wikiba.se/ontology#WikibaseItem,0.389,low,Honored or praised person,local_catalog_similarity,pending_review
HONORED,Honorific,Honored or praised person,2,P511,honorific prefix,"word or expression used before a name, in addressing or referring to a person",http://wikiba.se/ontology#WikibaseItem,0.387,low,Honored or praised person,local_catalog_similarity,pending_review
HONORED,Honorific,Honored or praised person,3,P640,Léonore ID,identifier of a person in the Léonore database,http://wikiba.se/ontology#ExternalId,0.380,low,Honored or praised person,local_catalog_similarity,pending_review
HONORED_BY,Honorific,Was honored by,1,P127,owned by,owner of the subject,http://wikiba.se/ontology#WikibaseItem,0.603,low,honored by,local_catalog_similarity,pending_review
HONORED_BY,Honorific,Was honored by,2,P8001,endorsed by,public support given by a person or organization to a political or other campaign,http://wikiba.se/ontology#WikibaseItem,0.570,low,honored by,local_catalog_similarity,pending_review
HONORED_BY,Honorific,Was honored by,3,P8004,ordered by,subject that ordered the act,http://wikiba.se/ontology#WikibaseItem,0.552,low,honored by,local_catalog_similarity,pending_review
TITLE_GRANTED_BY,Honorific,Person was granted title by grantor,1,P7010,imprimatur granted by,person or organization authorizing publication of the book,http://wikiba.se/ontology#WikibaseItem,0.537,low,title granted by,local_catalog_similarity,pending_review
TITLE_GRANTED_BY,Honorific,Person was granted title by grantor,2,P10449,trained by,"person who trained the subject, a human or an animal",http://wikiba.se/ontology#WikibaseItem,0.535,low,title granted by,local_catalog_similarity,pending_review
TITLE_GRANTED_BY,Honorific,Person was granted title by grantor,3,P3189,innervated by,nerves which innervate this anatomical structure,http://wikiba.se/ontology#WikibaseItem,0.530,low,title granted by,local_catalog_similarity,pending_review
INSTITUTIONAL_ACTION,Institutional,Generic institutional action,1,P5004,in opposition to,object of a social action,http://wikiba.se/ontology#WikibaseItem,0.484,low,institutional action,local_catalog_similarity,pending_review
INSTITUTIONAL_ACTION,Institutional,Generic institutional action,2,P3310,muscle action,action a muscle engages in,http://wikiba.se/ontology#WikibaseItem,0.459,low,institutional action,local_catalog_similarity,pending_review
INSTITUTIONAL_ACTION,Institutional,Generic institutional action,3,P12995,agent of action,particular animate item that initiates this action or class of actions,http://wikiba.se/ontology#WikibaseItem,0.448,low,institutional action,local_catalog_similarity,pending_review
LEGITIMATED,Institutional,Institution legitimated authority,1,P194,legislative body,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council",http://wikiba.se/ontology#WikibaseItem,0.387,low,Institution legitimated authority,local_catalog_similarity,pending_review
LEGITIMATED,Institutional,Institution legitimated authority,2,P8791,digitised by,"institution or person who digitised an exemplar of this item. Qualify with ""criterion used"" (P1013) to indicate which step was done.",http://wikiba.se/ontology#WikibaseItem,0.365,low,Institution legitimated authority,local_catalog_similarity,pending_review
LEGITIMATED,Institutional,Institution legitimated authority,3,P69,educated at,educational institution attended by subject,http://wikiba.se/ontology#WikibaseItem,0.339,low,Institution legitimated authority,local_catalog_similarity,pending_review
LEGITIMATED_BY,Institutional,Authority was legitimated by institution,1,P467,legislated by,indicates that an act or bill was passed by a legislature. The value can be a particular session of the legislature,http://wikiba.se/ontology#WikibaseItem,0.603,low,legitimated by,local_catalog_similarity,pending_review
LEGITIMATED_BY,Institutional,Authority was legitimated by institution,2,P5824,retracted by,(article) is retracted by (retraction notice),http://wikiba.se/ontology#WikibaseItem,0.544,low,legitimated by,local_catalog_similarity,pending_review
LEGITIMATED_BY,Institutional,Authority was legitimated by institution,3,P8791,digitised by,"institution or person who digitised an exemplar of this item. Qualify with ""criterion used"" (P1013) to indicate which step was done.",http://wikiba.se/ontology#WikibaseItem,0.527,low,legitimated by,local_catalog_similarity,pending_review
REFORMED,Institutional,Reformed institution/system,1,P1075,rector,senior official in an educational institution.,http://wikiba.se/ontology#WikibaseItem,0.356,low,Reformed institution/system,local_catalog_similarity,pending_review
REFORMED,Institutional,Reformed institution/system,2,P11811,beforehand owned by,"person or institution that owned the subject just before stated event. Meant to be used as qualifier of ""significant event (P793)"" for events like sales, auctions, gifts, etc",http://wikiba.se/ontology#WikibaseItem,0.320,low,Reformed institution/system,local_catalog_similarity,pending_review
REFORMED,Institutional,Reformed institution/system,3,P3037,spatial reference system,frame of reference used to produce a map,http://wikiba.se/ontology#WikibaseItem,0.315,low,Reformed institution/system,local_catalog_similarity,pending_review
REFORMED_BY,Institutional,Was reformed by,1,P3093,recovered by,"person, organisation or vehicle that recovered the item. Use the most specific value known.",http://wikiba.se/ontology#WikibaseItem,0.581,low,reformed by,local_catalog_similarity,pending_review
REFORMED_BY,Institutional,Was reformed by,2,P1318,proved by,person who proved something,http://wikiba.se/ontology#WikibaseItem,0.560,low,reformed by,local_catalog_similarity,pending_review
REFORMED_BY,Institutional,Was reformed by,3,P5824,retracted by,(article) is retracted by (retraction notice),http://wikiba.se/ontology#WikibaseItem,0.549,low,reformed by,local_catalog_similarity,pending_review
REINSTATED,Institutional,Reinstated dormant office/institution,1,P194,legislative body,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council",http://wikiba.se/ontology#WikibaseItem,0.358,low,Reinstated dormant office/institution,local_catalog_similarity,pending_review
REINSTATED,Institutional,Reinstated dormant office/institution,2,P10075,CREPČ institution ID,identifier for an institution in the Slovak bibliographic database Centrálny register evidencie publikačnej činnosti,http://wikiba.se/ontology#ExternalId,0.353,low,Reinstated dormant office/institution,local_catalog_similarity,pending_review
REINSTATED,Institutional,Reinstated dormant office/institution,3,P4353,nominated by,who nominated a person for an office or award; can be used as a qualifier,http://wikiba.se/ontology#WikibaseItem,0.348,low,Reinstated dormant office/institution,local_catalog_similarity,pending_review
REINSTATED_BY,Institutional,Was reinstated by,1,P5824,retracted by,(article) is retracted by (retraction notice),http://wikiba.se/ontology#WikibaseItem,0.617,low,reinstated by,local_catalog_similarity,pending_review
REINSTATED_BY,Institutional,Was reinstated by,2,P1840,investigated by,person or organization involved in investigation of the item,http://wikiba.se/ontology#WikibaseItem,0.589,low,reinstated by,local_catalog_similarity,pending_review
REINSTATED_BY,Institutional,Was reinstated by,3,P872,printed by,"organization or person who printed the creative work (if different from ""publisher"")",http://wikiba.se/ontology#WikibaseItem,0.583,low,reinstated by,local_catalog_similarity,pending_review
CHARGED_WITH,Legal,Person was charged with crime,1,P4082,captured with,"equipment (e.g. model of camera, lens, microphone), used to capture this image, video, audio, or data",http://wikiba.se/ontology#WikibaseItem,0.587,low,charged with,local_catalog_similarity,pending_review
CHARGED_WITH,Legal,Person was charged with crime,2,P1595,charge,"offence with which someone is charged, at a trial",http://wikiba.se/ontology#WikibaseItem,0.546,low,charged with,local_catalog_similarity,pending_review
CHARGED_WITH,Legal,Person was charged with crime,3,P11633,colocated with,"event sharing location, facility or organization with another, typically larger event",http://wikiba.se/ontology#WikibaseItem,0.527,low,charged with,local_catalog_similarity,pending_review
CHARGES_AGAINST,Legal,Crime was charged against person,1,P7888,merged into,"the subject was dissolved and merged into the object, that existed previously",http://wikiba.se/ontology#WikibaseItem,0.403,low,Crime was charged against person,local_catalog_similarity,pending_review
CHARGES_AGAINST,Legal,Crime was charged against person,2,P1595,charge,"offence with which someone is charged, at a trial",http://wikiba.se/ontology#WikibaseItem,0.368,low,Crime was charged against person,local_catalog_similarity,pending_review
CHARGES_AGAINST,Legal,Crime was charged against person,3,P8670,character designer,"person in charge of developing the style and concept of a character in a video game, anime or other creative work",http://wikiba.se/ontology#WikibaseItem,0.350,low,Crime was charged against person,local_catalog_similarity,pending_review
CONDEMNATION_OF,Legal,Condemnation without trial of person,1,P3701,incarnation of,incarnation of another religious or supernatural being,http://wikiba.se/ontology#WikibaseItem,0.537,low,condemnation of,local_catalog_similarity,pending_review
CONDEMNATION_OF,Legal,Condemnation without trial of person,2,P4428,implementation of,"implementation of a standard, program, specification or programming language",http://wikiba.se/ontology#WikibaseItem,0.528,low,condemnation of,local_catalog_similarity,pending_review
CONDEMNATION_OF,Legal,Condemnation without trial of person,3,P12949,denomination,value of a currency or type of currency,http://wikiba.se/ontology#WikibaseItem,0.522,low,condemnation of,local_catalog_similarity,pending_review
CONDEMNED_WITHOUT_TRIAL,Legal,Condemned without judicial trial,1,P8746,check-out time,the latest time of day a guest may check out of a hotel or lodge without incurring additional cost,http://wikiba.se/ontology#WikibaseItem,0.384,low,condemned without trial,local_catalog_similarity,pending_review
CONDEMNED_WITHOUT_TRIAL,Legal,Condemned without judicial trial,2,P8287,Worlds Without End author ID,identifier for authors at the website Worlds Without End,http://wikiba.se/ontology#ExternalId,0.383,low,condemned without trial,local_catalog_similarity,pending_review
CONDEMNED_WITHOUT_TRIAL,Legal,Condemned without judicial trial,3,P6099,clinical trial phase,step designation for a clinical trial,http://wikiba.se/ontology#WikibaseItem,0.370,low,Condemned without judicial trial,local_catalog_similarity,pending_review
EXECUTED,Legal,Entity executed individual/small group,1,P208,executive body,branch of government for the daily administration of the territorial entity,http://wikiba.se/ontology#WikibaseItem,0.437,low,Entity executed individual/small group,local_catalog_similarity,pending_review
EXECUTED,Legal,Entity executed individual/small group,2,P4361,ExecutedToday ID,"identifier for a person or group of individuals, in the ExecutedToday database",http://wikiba.se/ontology#ExternalId,0.377,low,Entity executed individual/small group,local_catalog_similarity,pending_review
EXECUTED,Legal,Entity executed individual/small group,3,P6167,British Executions ID,identifier for a person executed in Britain between 1100 and 1964,http://wikiba.se/ontology#ExternalId,0.336,low,executed,local_catalog_similarity,pending_review
EXECUTED_BY,Legal,Individual was executed by entity,1,P5824,retracted by,(article) is retracted by (retraction notice),http://wikiba.se/ontology#WikibaseItem,0.546,low,executed by,local_catalog_similarity,pending_review
EXECUTED_BY,Legal,Individual was executed by entity,2,P1299,depicted by,"object depicting this subject (object being creative works such as books, films, paintings)",http://wikiba.se/ontology#WikibaseItem,0.544,low,executed by,local_catalog_similarity,pending_review
EXECUTED_BY,Legal,Individual was executed by entity,3,P3719,regulated by,"organization that acts as regulator of an activity, financial market, or stock exchange",http://wikiba.se/ontology#WikibaseItem,0.523,low,executed by,local_catalog_similarity,pending_review
IMPRISONED_IN,Legal,Person was imprisoned in facility,1,P5072,presented in,"event at which a talk, film, paper, or poster was presented",http://wikiba.se/ontology#WikibaseItem,0.553,low,imprisoned in,local_catalog_similarity,pending_review
IMPRISONED_IN,Legal,Person was imprisoned in facility,2,P1433,published in,"larger work that a given work was published in, like a journal, a website, a collection, a book or a music album",http://wikiba.se/ontology#WikibaseItem,0.494,low,imprisoned in,local_catalog_similarity,pending_review
IMPRISONED_IN,Legal,Person was imprisoned in facility,3,P5572,expressed in,gene or protein is expressed during a specific condition/cell cycle/process/form,http://wikiba.se/ontology#WikibaseItem,0.488,low,imprisoned in,local_catalog_similarity,pending_review
IMPRISONMENT_OF,Legal,Facility held person imprisoned,1,P4599,monomer of,polymer composed of this monomer subunits,http://wikiba.se/ontology#WikibaseItem,0.495,low,imprisonment of,local_catalog_similarity,pending_review
IMPRISONMENT_OF,Legal,Facility held person imprisoned,2,P4428,implementation of,"implementation of a standard, program, specification or programming language",http://wikiba.se/ontology#WikibaseItem,0.476,low,imprisonment of,local_catalog_similarity,pending_review
IMPRISONMENT_OF,Legal,Facility held person imprisoned,3,P3364,stereoisomer of,target item is a stereoisomer of this item,http://wikiba.se/ontology#WikibaseItem,0.465,low,imprisonment of,local_catalog_similarity,pending_review
LEGAL_ACTION,Legal,Generic legal action,1,P3310,muscle action,action a muscle engages in,http://wikiba.se/ontology#WikibaseItem,0.573,low,legal action,local_catalog_similarity,pending_review
LEGAL_ACTION,Legal,Generic legal action,2,P1454,legal form,legal form of an entity,http://wikiba.se/ontology#WikibaseItem,0.518,low,legal action,local_catalog_similarity,pending_review
LEGAL_ACTION,Legal,Generic legal action,3,P12995,agent of action,particular animate item that initiates this action or class of actions,http://wikiba.se/ontology#WikibaseItem,0.470,low,Generic legal action,local_catalog_similarity,pending_review
SENTENCED_TO,Legal,Person was sentenced to punishment,1,P183,endemic to,sole location or habitat type where the taxon lives,http://wikiba.se/ontology#WikibaseItem,0.490,low,sentenced to,local_catalog_similarity,pending_review
SENTENCED_TO,Legal,Person was sentenced to punishment,2,P825,dedicated to,person or organization to whom the subject was dedicated,http://wikiba.se/ontology#WikibaseItem,0.490,low,sentenced to,local_catalog_similarity,pending_review
SENTENCED_TO,Legal,Person was sentenced to punishment,3,P8339,entry receptor,receptor protein or protein whose receptor is being used by this subject virus/microorganism group to enter cells,http://wikiba.se/ontology#WikibaseItem,0.468,low,sentenced to,local_catalog_similarity,pending_review
SENTENCE_OF,Legal,Punishment was sentenced to person,1,P31,instance of,type to which this subject corresponds/belongs. Different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain,http://wikiba.se/ontology#WikibaseItem,0.538,low,sentence of,local_catalog_similarity,pending_review
SENTENCE_OF,Legal,Punishment was sentenced to person,2,P1066,student of,person who has taught this person,http://wikiba.se/ontology#WikibaseItem,0.522,low,sentence of,local_catalog_similarity,pending_review
SENTENCE_OF,Legal,Punishment was sentenced to person,3,P9680,consequence of text,legislative or executive or other text that was the cause of the statement,http://wikiba.se/ontology#WikibaseItem,0.465,low,sentence of,local_catalog_similarity,pending_review
HAS_INDICATOR,Measurement,Entity has quantified indicator,1,P10611,has certification,states that an item has a certain certification,http://wikiba.se/ontology#WikibaseItem,0.519,low,has indicator,local_catalog_similarity,pending_review
HAS_INDICATOR,Measurement,Entity has quantified indicator,2,P1660,has index case,initial patient in the population of an epidemiological investigation,http://wikiba.se/ontology#WikibaseItem,0.509,low,has indicator,local_catalog_similarity,pending_review
HAS_INDICATOR,Measurement,Entity has quantified indicator,3,P11231,has biological vector,a taxon which functions as a vector for this pathogenic biological group,http://wikiba.se/ontology#WikibaseItem,0.496,low,has indicator,local_catalog_similarity,pending_review
INDICATOR_OF,Measurement,Quantified indicator describes entity,1,P3776,inhibitor of,"protein for which this chemical compound acts as an inhibitor; only specify the inhibited function if the protein has more than one function (qualifier ""of"")",http://wikiba.se/ontology#WikibaseItem,0.546,low,indicator of,local_catalog_similarity,pending_review
INDICATOR_OF,Measurement,Quantified indicator describes entity,2,P3701,incarnation of,incarnation of another religious or supernatural being,http://wikiba.se/ontology#WikibaseItem,0.525,low,indicator of,local_catalog_similarity,pending_review
INDICATOR_OF,Measurement,Quantified indicator describes entity,3,P3771,activator of,protein for which this chemical acts as an activator,http://wikiba.se/ontology#WikibaseItem,0.502,low,indicator of,local_catalog_similarity,pending_review
BESIEGED,Military,Laid siege to place,1,P551,residence,"the place where the person is or has been, resident",http://wikiba.se/ontology#WikibaseItem,0.386,low,Laid siege to place,local_catalog_similarity,pending_review
BESIEGED,Military,Laid siege to place,2,P3349,designed to carry,what the vehicle or class of vehicles is or was designed to carry,http://wikiba.se/ontology#WikibaseItem,0.377,low,Laid siege to place,local_catalog_similarity,pending_review
BESIEGED,Military,Laid siege to place,3,P13047,leased to,person or organisation that holds or was granted a lease on the subject,http://wikiba.se/ontology#WikibaseItem,0.354,low,Laid siege to place,local_catalog_similarity,pending_review
BESIEGED_BY,Military,Place was besieged by,1,P287,designed by,"person or organization which designed the object. For buildings use ""architect"" (Property:P84)",http://wikiba.se/ontology#WikibaseItem,0.604,low,besieged by,local_catalog_similarity,pending_review
BESIEGED_BY,Military,Place was besieged by,2,P4032,reviewed by,"person who reviewed/refereed the work, e.g., scientific peer-reviewer",http://wikiba.se/ontology#WikibaseItem,0.548,low,besieged by,local_catalog_similarity,pending_review
BESIEGED_BY,Military,Place was besieged by,3,P1840,investigated by,person or organization involved in investigation of the item,http://wikiba.se/ontology#WikibaseItem,0.527,low,besieged by,local_catalog_similarity,pending_review
BETRAYED,Military,Entity betrayed trust/loyalty,1,P3452,inferred from,"statement added based on related statement found within the item, not the entity described by the item (to be used in a reference field)",http://wikiba.se/ontology#WikibaseItem,0.292,low,Entity betrayed trust/loyalty,local_catalog_similarity,pending_review
BETRAYED,Military,Entity betrayed trust/loyalty,2,P1000,record held,"notable record achieved by a person or entity, include qualifiers for dates held",http://wikiba.se/ontology#WikibaseItem,0.290,low,Entity betrayed trust/loyalty,local_catalog_similarity,pending_review
BETRAYED,Military,Entity betrayed trust/loyalty,3,P9885,Bing entity ID,identifier for an entity on Microsoft Bing,http://wikiba.se/ontology#ExternalId,0.288,low,Entity betrayed trust/loyalty,local_catalog_similarity,pending_review
