token,qid,label,description,aliases,all_qids,all_labels,all_descriptions,confidence,rank,instanceOf_qid,instanceOf_label,subclassOf_qid,subclassOf_label,partOf_qid,partOf_label
Mongolia; China; 'Abbasid empire; south Russian steppes; central Europe,,,,,,,,0.0,,,,,,,
Montenegro,Q236,Montenegro,country in southeastern Europe,Montenegro,Q1001470;Q1256403;Q1808078;Q189018;Q236;Q386496;Q638897;Q724692;Q779011;Q9034815,Kingdom of Montenegro;Montenegro;Montenegro Airlines;Montenegro men's national football team;Principality of Montenegro;Roberto Montenegro,"1852–1910 principality in Southeastern Europe;1910–1918 kingdom in Southeastern Europe;Colombian municipality of the department of Quindío;Mexican artist (1887-1968);civil parish in Faro;country in southeastern Europe;family name;flag carrier of Montenegro, headquartered in Podgorica;men's national association football team representing Montenegro;municipality of Rio Grande do Sul state, Brazil",1.0,"{'type': 'label', 'language': 'en', 'text': 'Montenegro'}","Q127693126,Q3624078,Q51576574,Q6256","Mediterranean country,country,sovereign state,successor state",,,Q10860602,post-Yugoslavia states
Montserrat,Q13353,Montserrat,British overseas territory and island in the Caribbean,,Q114368643;Q11693574;Q13353;Q151435;Q26779108;Q4516605;Q48018894;Q601533;Q604539;Q732115,Montserrat;Montserrat Anguita;Montserrat Caballé;Montserrat Carulla;Montserrat Ginesta Clavell;Montserrat Rué i Monné,"British overseas territory and island in the Caribbean;Spanish academic;Spanish actress (1930–2020);Spanish operatic soprano (1933–2018);Spanish writer (born 1952);family name;female given name;multi-peaked mountain in Catalonia, Spain;researcher;town in Valencia, Spain",1.0,"{'type': 'label', 'language': 'en', 'text': 'Montserrat'}","Q23442,Q46395","British overseas territory,island",,,"Q29971,Q664609,Q93259","Caribbean,Leeward Islands,Lesser Antilles"
Morocco,Q1028,Morocco,sovereign state in North Africa,Morocco,Q1028;Q12183875;Q14949869;Q19828367;Q207337;Q2118555;Q2374422;Q3708053;Q52376015;Q577754,Exit Marrakech;Morocco;Morocco leather;Morocco men's national football team;Morocco titular see;Sharifian Empire,"1930 film by Josef von Sternberg and Henry Hathaway;2013 film by Caroline Link;Absolutely Fabulous's episode;genus of fishes;historical name given to Morocco;men's national association football team representing Morocco;soft, pliable leather used for bookbinding, wallets, linings for luggage, gloves and shoes;sovereign state in North Africa;titular see;town in Indiana, United States",1.0,"{'type': 'label', 'language': 'en', 'text': 'Morocco'}","Q3624078,Q41614,Q51576574,Q6256","Mediterranean country,constitutional monarchy,country,sovereign state",,,Q27381,North Africa
Morocco; Spain,,,,,,,,0.0,,,,,,,
Moscow (Russia,,,,,,,,0.0,,,,,,,
Mosel-Rhineland,,,,,,,,0.0,,,,,,,
Mosul; Ayyubid territory in the Jazira,,,,,,,,0.0,,,,,,,
Mozambique,Q1029,Mozambique,country in Southeastern Africa; the current form of Mozambique since 1975,Mozambique;Mozambique Liberation Front;Mozambique tilapia;mozambique,Q1029;Q114479073;Q12126300;Q1348685;Q165100;Q2720293;Q27732043;Q504564;Q5793520;Q889394,FRELIMO;Mozambique;Mozambique Channel;Oreochromis mossambicus;Portuguese Mozambique;ovangkol,"1498–1975 Portuguese possession in East Africa;1965 film by Robert Lynn;arm of the Indian Ocean located between the Southeast African countries of Madagascar and Mozambique;country in Southeastern Africa; the current form of Mozambique since 1975;episode of Southland (S1 E2);ruling party of Mozambique since 1977;song by Bob Dylan;species of fish;style of vigorous music, developed by Pello el Afrokan (Pedro Izquierdo) in Cuba in 1963, and subsequently adapted by Eddie Palmieri in New York in the 1960s in a quite different form;type of wood",1.0,"{'type': 'label', 'language': 'en', 'text': 'Mozambique'}","Q3624078,Q6256,Q7270","country,republic,sovereign state",,,"Q1360686,Q27407","East Africa,Portuguese-speaking African countries"
Muntenia,Q207388,Muntenia,historical region,Muntenia;Muntenia montana,Q102286624;Q104527848;Q19661839;Q207388;Q944700,Mountainous North (Muntenia);Muntenia;Muntenia Asset Management;Muntenia nemzetközi InterCity;Romanian frigate Mărăşeşti,;Romanian company;historical region;ship,1.0,"{'type': 'label', 'language': 'en', 'text': 'Muntenia'}",Q1620908,historical region,,,,
Muntenia  si sud-estul Transilvaniei,,,,,,,,0.0,,,,,,,
Muntenia and Oltenia,,,,,,,,0.0,,,,,,,
Muntenia centrala si de vest,,,,,,,,0.0,,,,,,,
Muntenia de est,,,,,,,,0.0,,,,,,,
Muntenia de sud,,,,,,,,0.0,,,,,,,
Mureș County,Q190711,Mureș County,county of Romania,Mureș County COVID-19 pandemic,Q104720282;Q109416049;Q12731474;Q190711;Q599836;Q89485167;Q89588570,COVID-19 pandemic in Mureș County;Mureș County;Mureș County Council;Mureș County Library;Mureș County Prefecture;Mureș County councillor,";county of Romania;county of the Kingdom of Romania;elected assembly of Mureș County, Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Mureș County'}",Q1776764,county of Romania,,,,
Mureș Culture,,,,,,,,0.0,,,,,,,
Muscel (Romania : Județ,,,,,,,,0.0,,,,,,,
Myanmar,Q836,Myanmar,country in Southeast Asia,Myanmar;Myanmar Amber;Myanmar Standard Time;Myanmar Wikipedia;Myanmar language,Q101572539;Q1229861;Q1888335;Q271753;Q43887939;Q4614845;Q6923;Q836;Q865750;Q9228,Burmese;Burmese Wikipedia;Burmese amber;Mon–Burmese script;Myanmar;Myanmar Airways International;Myanmar men's national football team;Myanmarorchestia;UTC+06:30,Airline of Myanmar;Burmese-language edition of Wikipedia;Identifier for a time offset from UTC of +6:30;Late Cretaceous amber from Northern Myanmar;Sino-Tibetan language of Myanmar;Unicode code block;country in Southeast Asia;genus of amphipods;national association football team;writing system used for various languages of Myanmar,1.0,"{'type': 'label', 'language': 'en', 'text': 'Myanmar'}","Q3624078,Q6256,Q7270","country,republic,sovereign state",,,Q11708,Southeast Asia
Myanmar [Burma,,,,,,,,0.0,,,,,,,
Mycenae,Q132564,Mycenae,"ancient city, now an archaeological site in Argolis, Greece",Mycenaean Castle Gla,Q103959329;Q112639483;Q132564;Q181264;Q58968828;Q60791422;Q636506;Q65512271;Q668366;Q6946916,Gla;Mycenae;Mycenaean Greece;Mycenaean Greek;Mycenaean sealstone,"ancient city, now an archaeological site in Argolis, Greece;ancient town in Crete;encyclopedia article;fortified site in Greece;human settlement in Onondaga County, New York, United States of America;late Bronze Age Greek civilization;most ancient attested form of the Greek language from the 16th to 12th centuries BC;painting by Edward Giobbi;print in the National Gallery of Art (NGA 48788);seal created in Mycenaean Greece",1.0,"{'type': 'label', 'language': 'en', 'text': 'Mycenae'}","Q148837,Q15661340,Q29048715","Archaeological site in Greece,ancient city,polis",,,Q16945635,Archaeological Sites of Mycenae and Tiryns
Nabataean Incense Road,,,,,,,,0.0,,,,,,,
Namazga-depe in south-west Turkmenistan,,,,,,,,0.0,,,,,,,
Namibia,Q1030,Namibia,country in Southern Africa,Namibia,Q1030;Q10594225;Q114493910;Q142787;Q17251529;Q1964247;Q233961;Q281947;Q328687;Q4353474,"1718 Namibia;Namibia;Namibia men's national football team;Namibia pomonae;Namibia, Land of the Brave;Namibiana;Namibianira",asteroid;country in Southern Africa;episode of Man vs. Wild (S2 E9);genus of crustaceans;genus of insects;genus of plants;genus of reptiles;national anthem of Namibia;national association football team;species of plant,1.0,"{'type': 'label', 'language': 'en', 'text': 'Namibia'}","Q3624078,Q6256,Q7270","country,republic,sovereign state",,,"Q27394,Q66458647","European Union tax haven blacklist,Southern Africa"
Naples,Q2634,Naples,"capital city of Campania, Italy",Naples;Naples University,Q2361169;Q257830;Q2634;Q37550197;Q3870228;Q3924632;Q482396;Q691851;Q6964959;Q976503,Naples;University of Naples Federico II;province of Naples,"capital city of Campania, Italy;city in Morris County, Texas, United States;city in Uintah County, Utah, United States;city in Collier County, Florida, United States;family name;province of the Kingdom of the Two Sicilies;town in Cumberland County, Maine, United States;town in Ontario County, New York, United States;unincorporated community in Boundary County, Idaho, United States;university in Naples",1.0,"{'type': 'label', 'language': 'en', 'text': 'Naples'}","Q1549591,Q515,Q747074","big city,city,commune of Italy",,,,
Naples (Italy,,,,,,,,0.0,,,,,,,
Naples (Kingdom,,,,,,,,0.0,,,,,,,
Neamț County,Q188661,Neamț County,county in Romania,Neamț County COVID-19 pandemic,Q104720283;Q12731475;Q188661;Q89485172;Q89588579,COVID-19 pandemic in Neamț County;Neamț County;Neamț County Council;Neamț County councillor,";county in Romania;county of the Kingdom of Romania;elected assembly of Neamț County, Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Neamț County'}",Q1776764,county of Romania,,,,
Near East,Q48214,Near East,"geographical term that roughly encompasses Western Asia, and in some definitions parts of the Balkans","Near Eastern Antiquities in the Louvre - Room 3;Near Eastern Antiquities, room 6;Near Eastern fire salamander;Near Eastern studies",Q12211529;Q19019112;Q19119191;Q23019185;Q26424344;Q348747;Q48214;Q62061767;Q6984368;Q890755,Kurdistan Newt;Middle Eastern studies;Near East;Near East University;Near Eastern Archaeology;Near Eastern archaeologist;Near Eastern studies;Room 227;Room 230,"academic discipline;academic field;academic journal;archaeologist who specialises in the Near East region;geographical term that roughly encompasses Western Asia, and in some definitions parts of the Balkans;map edition;private university in Northern Cyprus;room 227 of the Louvre: the Code of Hammurabi;room 230 of the Louvre: Anatolian civilization, Mesopotamia, Northern Syria;species of amphibian",1.0,"{'type': 'label', 'language': 'en', 'text': 'Near East'}","Q137186904,Q137432293,Q3502482","cultural region,geographic term,transcontinental region",,,Q11367199,Near and Middle East
Near East and Greece,,,,,,,,0.0,,,,,,,
Near East; Southwest Asia; Levant,,,,,,,,0.0,,,,,,,
Neo-Assyrian Empire,Q10914393,Neo-Assyrian Empire,historical state in Mesopotamia,,Q10914393,Neo-Assyrian Empire,historical state in Mesopotamia,1.0,"{'type': 'label', 'language': 'en', 'text': 'Neo-Assyrian Empire'}","Q11514315,Q1292119,Q3024240,Q48349","empire,historical country,historical period,style",,,Q745718,Assyrians
Nepal,Q837,Nepal,country in South Asia,Nepal;Nepal Bhasa language;Nepal Standard Time,Q1078602;Q1291627;Q13958999;Q33823;Q33979;Q4296118;Q6647;Q6890;Q837;Q8560590,Kingdom of Nepal;Lalitpur;Nepal;Nepal Bhasa Wikipedia;Nepali;Nepali Wikipedia;Nepalmatoiulus;Nepalomyia;Newar;UTC+05:45,"Identifier for a time offset from UTC of +5:45;Nepali-language edition of Wikipedia;Sino-Tibetan language of central-eastern Nepal;city in Kathmandu Valley, Nepal;country in South Asia;edition of the free-content encyclopedia;genus of flies;genus of myriapods;official language of Nepal;sovereign monarchy in South Asia, lasting from 1768–2008",1.0,"{'type': 'label', 'language': 'en', 'text': 'Nepal'}","Q123480,Q3624078,Q465613,Q512187,Q6256,Q82794,Q842112","country,federal republic,landlocked country,people's republic,region,socialist state,sovereign state",,,Q771405,South Asia
Nepal Valley and surrounding areas,,,,,,,,0.0,,,,,,,
Netherlands,Q55,Netherlands,country in Northwestern Europe with territories in the Caribbean,Netherlands;Netherlands (1581–1795);Netherlands East Indies,Q16250490;Q170072;Q1867222;Q188161;Q26842171;Q29999;Q476033;Q55;Q758610;Q774783,Dutch East Indies;Dutch Republic;Kingdom of the Netherlands;Low Countries;Netherlands;Netherlands Institute for Art History;Netherlands Organisation for Applied Scientific Research;Netherlands journal of medicine;Sovereign Principality of the United Netherlands,Dutch colony in Southeast Asia and Oceania (1800–1949);Dutch organisation;constituency of the European Parliament;country in Northwestern Europe with territories in the Caribbean;historical coastal landscape in north western Europe;journal;national Dutch documentation center of art history;precursor of the United Kingdom of the Netherlands from 1813 to 1815;predecessor state of the Netherlands (1581–1795);transcontinental sovereign state and constitutional monarchy,1.0,"{'type': 'label', 'language': 'en', 'text': 'Netherlands'}","Q15304003,Q6256","country,country of the Kingdom of the Netherlands",,,"Q13116,Q27496,Q29999,Q458","Benelux,European Union,Kingdom of the Netherlands,Western Europe"
Neuquén Province,Q44800,Neuquén Province,province of Argentina,,Q44800,Neuquén Province,province of Argentina,1.0,"{'type': 'label', 'language': 'en', 'text': 'Neuquén Province'}",Q44753,province of Argentina,,,,
Nevada,Q1227,Nevada,state of the United States of America,Nevada State University,Q109681;Q117886469;Q1185955;Q1227;Q15943010;Q38586;Q605280;Q64576177;Q871293;Q959584,"Nevada;Nevada County;Nevada Fall;University of Nevada, Reno","American DJ and musician;city in Story County, Iowa, United States;city in and county seat of Vernon County, Missouri, United States;county in California, United States;genus of plants;municipality in Granada, Spain;public research university in Reno, Nevada, United States;state of the United States of America;unisex given name;waterfall in Yosemite National Park, California",1.0,"{'type': 'label', 'language': 'en', 'text': 'Nevada'}",Q35657,U.S. state,,,Q578170,contiguous United States
New England,Q18389,New England,region of the northeasternmost United States,New England Deaconess Hospital;New England Journal of Medicine;New England Quarterly,Q1347162;Q1467315;Q1816718;Q18389;Q193390;Q2973794;Q4897536;Q5355766;Q582728;Q7753584,Beth Israel Deaconess Medical Center;New England;New England Conservatory;New England Patriots;The New England Journal of Medicine;The New England Quarterly,"Australian federal electoral division;National Football League franchise in Foxborough, Massachusetts;academic journal;city in Hettinger County, North Dakota, United States;former state electoral district of New South Wales, Australia;oldest independent school of music in the United States;peer-reviewed medical journal;region in New South Wales, Australia;region of the northeasternmost United States;teaching hospital of Harvard Medical School",1.0,"{'type': 'label', 'language': 'en', 'text': 'New England'}","Q123615496,Q518261","U.S. region,cultural area",,,,
New England & New York,,,,,,,,0.0,,,,,,,
New England and New York,,,,,,,,0.0,,,,,,,
New Hampshire,Q759,New Hampshire,state of the United States of America,New Hampshire Colony,Q111905445;Q114538964;Q1343076;Q1617382;Q1815356;Q3073031;Q3472179;Q7008086;Q7008336;Q759,New Hampshire;New Hampshire Fisher Cats;New Hampshire Motor Speedway;New Hampshire Red;New Hampshire Wildcats men's basketball;Province of New Hampshire,"American breed of chicken;Minor League Baseball team;collection of poems by Robert Frost;episode of Bert the Conqueror (S1 E4);episode of Veep;former colony in North America, part of Great Britain;motorsport track in Loudon, New Hampshire, United States;sports team;state of the United States of America;town in Auglaize County, Ohio, United States",1.0,"{'type': 'label', 'language': 'en', 'text': 'New Hampshire'}",Q35657,U.S. state,,,"Q18389,Q578170","New England,contiguous United States"
New Jersey,Q1408,New Jersey,state of the United States of America,New Jersey;New Jersey Assembly member;New Jersey Nets,Q135264428;Q1408;Q18536527;Q192081;Q2335128;Q27712131;Q27712302;Q3272013;Q572134;Q779923,Brooklyn Nets;Member of the New Jersey General Assembly;New Jersey;New Jersey Devils;New Jersey Institute of Technology;New Jersey medicine : the journal of the Medical Society of New Jersey;New Jersey nurse;Province of New Jersey,"1988 studio album by Bon Jovi;American professional basketball team;National Hockey League team in Newark, New Jersey;Tony Hawk's Underground level;former colony in North America, part of Great Britain;journal;position;public research university in Newark, New Jersey, USA;state of the United States of America",1.0,"{'type': 'label', 'language': 'en', 'text': 'New Jersey'}",Q35657,U.S. state,,,Q578170,contiguous United States
New Mexico,Q1522,New Mexico,state of the United States of America,New Mexico,Q1353248;Q1522;Q178652;Q2250917;Q559229;Q597711;Q7010200;Q7010242;Q7010253;Q921283,Mexico;New Mexico;New Mexico Department of Transportation;New Mexico Lobos men's basketball;New Mexico Museum of Art;New Mexico State Aggies men's basketball;New Mexico State Register of Cultural Properties;New Mexico State University;New Mexico Territory;Santa Fe de Nuevo México,"art museum in Santa Fe, New Mexico;city in and county seat of Audrain County, Missouri, United States;government agency in New Mexico, United States;historic place register operated by the state government of New Mexico;province of New Spain (1598-1821), territory of Mexico (1821-1846), provisional government of the USA (1846-1850);sports team of New Mexico State University;sports team of the University of New Mexico;state of the United States of America;territory of the United States of America, 1850–1912;university in the United States",1.0,"{'type': 'label', 'language': 'en', 'text': 'New Mexico'}",Q35657,U.S. state,,,"Q12612,Q15672,Q527825,Q578170,Q858847","Four Corners,Mountain States,Southwestern United States,Western United States,contiguous United States"
New South Wales,Q3224,New South Wales,state of Australia,New South Wales;New South Wales Geographical Names Register;New South Wales Heritage Database;New South Wales State Library;New South Wales University of Technology;New South Wales public health bulletin,Q15758613;Q18348382;Q28152836;Q3177241;Q3224;Q56649105;Q6133813;Q63408358;Q6955397;Q734764,Colony of New South Wales;Geographical Names Register;NSW Heritage Database;NSW Public Health Bulletin;New South Wales;New South Wales State Heritage Register;New South Wales cricket team;State Library of New South Wales;University of New South Wales,"Australian first class cricket team;British colony which later became a state of Australia;Heritage list of places in New South Wales, Australia;central library for the state of New South Wales, Australia;constituency of the Australian senate;database maintained by the Office of Environment and Heritage (NSW, Australia);database of places registered by the New South Wales Geographic Names Board;journal;public research university in Kensington, Sydney, Australia;state of Australia",1.0,"{'type': 'label', 'language': 'en', 'text': 'New South Wales'}",Q5852411,state of Australia,,,,
New Western Empire/France,,,,,,,,0.0,,,,,,,
New York,Q1384,New York,state of the United States of America,New York Academy of Sciences. Annals;New York Alki;New York County;New York Time;New York/New Jersey MetroStars;New-York Daily Times,Q11299;Q1384;Q204220;Q2431664;Q49210;Q5083;Q5239300;Q60;Q941023;Q9684,Annals of the New York Academy of Sciences;Eastern Time Zone;Manhattan;New York;New York City;New York University;Red Bull New York;Seattle;The New York Times,"2009 film directed by Kabir Khan;American daily newspaper (founded 1851);Major League Soccer franchise in Harrison, New Jersey, USA;borough of New York City, New York, United States;city in and county seat of King County, State of Washington, United States;most populous city in the United States;private university in New York City;scientific journal;state of the United States of America;time zone observing UTC−05:00 during standard time and UTC−04:00 during daylight saving time",1.0,"{'type': 'label', 'language': 'en', 'text': 'New York'}",Q35657,U.S. state,,,Q578170,contiguous United States
New Zealand,Q664,New Zealand,island country in the southwest Pacific Ocean,New Zealand Historic Places Trust Category II listing;New Zealand Thesis Project;New Zealand colony;New Zealand medical journal,Q101073903;Q1048192;Q108424413;Q111645234;Q23893915;Q28822545;Q5148518;Q52087697;Q664;Q7753855,Colony of New Zealand;Heritage New Zealand Category 2 historic place listing;NZThesisProject;New Zealand;New Zealand Gazetteer;New Zealand Labour Party;New Zealand Legislation;New Zealand Organisms Register;New Zealand Threat Classification System Database;The New Zealand Medical Journal,"New Zealand heritage designation;catalogue of scientific names of New Zealand biota;centre-left political party in New Zealand;community of editors and project aiming to upload the citation data of New Zealand doctoral and masters theses to Wikidata;constitutional monarchy in Oceania (1844–1907);island country in the southwest Pacific Ocean;journal;place name gazetteer of New Zealand;website and database for the New Zealand Threat Classification System;website providing providing access to New Zealand acts, bills, secondary legislation, and supplementary order papers",1.0,"{'type': 'label', 'language': 'en', 'text': 'New Zealand'}","Q112099,Q202686,Q3624078,Q6256","Commonwealth realm,country,island country,sovereign state",,,"Q107323313,Q45256,Q889033","Australasia,Australia and New Zealand,Realm of New Zealand"
Nicaragua,Q811,Nicaragua,sovereign state in Central America,Nicaragua;Nicaragua shark;Nicaraguan Primera Division,Q108803471;Q190469;Q19547984;Q2287945;Q27720051;Q327924;Q37178314;Q811;Q9026389;Q926330,11908 Nicaragua;Carcharhinus leucas;Liga Primera;MTV Hits (Latin America);Nicaragua;Nicaragua medica;Nicaragua men's national football team;Nicaraguan Football Federation,;Latin American pay-television music channel.;The official governing body of football (soccer) in Nicaragua.;association football league;asteroid;family name;journal;men's national association football team representing Nicaragua;sovereign state in Central America;species of fish,1.0,"{'type': 'label', 'language': 'en', 'text': 'Nicaragua'}","Q3624078,Q6256","country,sovereign state",,,"Q12585,Q27611","Central America,Latin America"
Nigeria,Q1033,Nigeria,sovereign state in West Africa,Nigerian Postgraduate Medical Journal,Q1033;Q15817275;Q181930;Q23890434;Q26841827;Q27717245;Q33655;Q3590737;Q606853;Q7032788,Nigeria;Nigeria men's national football team;Nigeria national under-17 football team;Nigeria women's national football team;Nigerian Journal of Clinical Practice;Nigerian Pidgin;Nigerian journal of medicine : journal of the National Association of Resident Doctors of Nigeria;The Nigerian Postgraduate Medical Journal,1980 studio album by Grant Green;English-based creole languages;fossil taxon;journal;men's national association football team representing Nigeria;national association football team;sovereign state in West Africa;women's national association football team representing Nigeria,1.0,"{'type': 'label', 'language': 'en', 'text': 'Nigeria'}","Q3624078,Q512187,Q6256","country,federal republic,sovereign state",,,Q4412,West Africa
Nord-Estul Munteniei,,,,,,,,0.0,,,,,,,
Nord-estul Munteniei,,,,,,,,0.0,,,,,,,
Nord-estul Olteniei,,,,,,,,0.0,,,,,,,
Nordul Munteniei si nord-estul Olteniei,,,,,,,,0.0,,,,,,,
Nordul și Centrul Moldovei,,,,,,,,0.0,,,,,,,
Noricum,Q131434,Noricum,Celtic federation; province of the Roman Empire,Noricum,Q113663708;Q11939098;Q1218543;Q127042948;Q130343509;Q131434;Q2108894;Q2555408;Q3878417;Q42053589,NORICUM;Noricum;Noricum (Pauly-Wissowa);Noricum mediterraneum;Novicum,Canadian howitzer;Celtic federation; province of the Roman Empire;Roman personification of the region and province of Noricum;Roman province;botanical region;encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE);historic brand of motorcycles;hymn tune;motor bike,1.0,"{'type': 'label', 'language': 'en', 'text': 'Noricum'}","Q1250464,Q1620908","historical region,realm",,,,
North Africa,Q27381,North Africa,northernmost region of the African continent,North Africa and the Middle East;North African Arabic;North African crested porcupine;north Africa,Q114484309;Q1194795;Q169260;Q218678;Q262307;Q27381;Q2826229;Q77898645;Q840762;Q984212,Crested porcupine;Maghrebi Arabic;Middle East and North Africa;Moors;North Africa;North Africa during Antiquity;North African campaign;North African hedgehog,"1940–1943 military campaign of World War II;Historic phases of North Africa (c. 8th cent. BCE - 5th cent.CE);Medieval Muslim inhabitants of the Maghreb, Iberian Peninsula, Sicily and Malta;Middle East and North Africa region;episode of Man vs. Wild (S4 E14);family of Arabic dialects spoken in the Maghreb;northernmost region of the African continent;painting by Nathaniel Hone the Younger;species of mammal",1.0,"{'type': 'label', 'language': 'en', 'text': 'North Africa'}","Q3502482,Q82794","cultural region,region",,,"Q15,Q984212","Africa,Middle East and North Africa"
North Africa and Spain,,,,,,,,0.0,,,,,,,
North Africa; Egypt; southern Syria,,,,,,,,0.0,,,,,,,
North Alaskan coast,,,,,,,,0.0,,,,,,,
North America,Q49,North America,continent,North America;North American Central Time Zone;North American Eastern Time Zone;North American Indians;North American blastomycosis,Q15571255;Q19464773;Q206084;Q2086913;Q49;Q502117;Q553002;Q627368;Q844656;Q941023,Central Time Zone;Eastern Time Zone;North America;North American B-25 Mitchell;North American F-82 Twin Mustang;North American Sabreliner;North American T-28 Trojan;Northern America and Mexico;blastomycosis;indigenous peoples of North America,"1940 bomber aircraft family;1945 fighter aircraft series;1949 military trainer aircraft family by North American Aviation;American business jet;Canada, USA, Mexico, and Greenland;continent;precontact inhabitants of North America;primary systemic mycosis that results in a systemic fungal infection, and has material basis in Blastomyces dermatitidis;time zone observing UTC−05:00 during standard time and UTC−04:00 during daylight saving time;time zone observing UTC−06:00 during standard time and UTC−05:00 during daylight saving time",1.0,"{'type': 'label', 'language': 'en', 'text': 'North America'}","Q2418896,Q5107,Q855697","continent,part of the world,subcontinent",,,Q828,Americas
North American colonies of England and France,,,,,,,,0.0,,,,,,,
North Carolina,Q1454,North Carolina,state of the United States of America,North Carolina;North Carolina Encyclopedia;North Carolina Museum of Art (Seventeenth-century Dutch and Flemish paintings);North Carolina state representative,Q1132346;Q1454;Q1459878;Q15764036;Q18089655;Q21779079;Q2334526;Q27230564;Q4412061;Q63676588,NCpedia;North Carolina;North Carolina Highway Historical Marker Program;North Carolina Medical Journal;North Carolina Museum of Art;North Carolina State University;North Carolina Tar Heels men's basketball;Province of North Carolina;Seventeenth-century Dutch and Flemish paintings;member of the North Carolina House of Representatives,"art catalog raisonné, part of a complete catalog of the North Carolina Museum of Art, by Dennis P. Weller;former British province in North America;journal;online encyclopedia about North Carolina;position;public research university in Raleigh, North Carolina, United States;sports team of the University of North Carolina at Chapel Hill;standardize the practice of marking sites of statewide historical significance in North Carolina;state art museum in Raleigh, North Carolina;state of the United States of America",1.0,"{'type': 'label', 'language': 'en', 'text': 'North Carolina'}",Q35657,U.S. state,,,"Q2261430,Q2747220,Q578170","South Atlantic states,The Carolinas,contiguous United States"
North Central Iran,,,,,,,,0.0,,,,,,,
North Macedonia,Q221,North Macedonia,country in southeastern Europe,North Macedonia;North Macedonia football;North Macedonian denar,Q177875;Q188568;Q221;Q2660379;Q3408795;Q379845;Q6723101;Q6723102;Q905573;Q939101,Macedonian denar;North Macedonia;North Macedonia in the Eurovision Song Contest;North Macedonia men's national football team;North Macedonia men's national handball team;North Macedonia national under-17 football team;North Macedonia national under-19 football team;North Macedonia national under-21 football team;Vardar Banovina;football in North Macedonia,;country in southeastern Europe;currency of North Macedonia;men's national association football team representing North Macedonia;men's national handball team representing North Macedonia;national association football team;overview of association football practiced in North Macedonia;province in Yugoslavia between 1929–1941,1.0,"{'type': 'label', 'language': 'en', 'text': 'North Macedonia'}","Q123480,Q3624078,Q6256","country,landlocked country,sovereign state",,,"Q10860602,Q263686","Southeast Europe,post-Yugoslavia states"
North Syria,Q60070322,NORTH SYRIA AS A CULTURAL LINK IN THE ANCIENT WORLD,scientific article published in Nature,,Q60070322;Q60256699,NORTH SYRIA AS A CULTURAL LINK IN THE ANCIENT WORLD;North Syrian Archæology And Old Testament Sources,scientific article published in Nature,0.8,"{'type': 'label', 'language': 'en', 'text': 'NORTH SYRIA AS A CULTURAL LINK IN THE ANCIENT WORLD'}",,,,,,
North coast of Canada to Greenland,,,,,,,,0.0,,,,,,,
Northamptonshire,Q67311402,Northamptonshire,historic county of England,Northamptonshire Peasant Poet;Northamptonshire history,Q14942414;Q23115;Q3344193;Q57208215;Q5865724;Q60576054;Q67311402;Q7057663;Q7057664;Q981572,John Clare;Northamptonshire;Northamptonshire County Council;Northamptonshire County Cricket Club;history of Northamptonshire,"Constituency of the Parliament of England (to 1707);DAB multiplex;English cricket club;English poet (1793-1864);Parliamentary constituency in the United Kingdom, 1801-1832;aspect of history;ceremonial county in England, UK;constituency of the European Parliament;former local government administrative body for Northamptonshire;historic county of England",1.0,"{'type': 'label', 'language': 'en', 'text': 'Northamptonshire'}","Q1138494,Q7925010","historic county of England,vice-county",,,Q21,England
Northeast Iran,,,,,,,,0.0,,,,,,,
Northern (Russia,,,,,,,,0.0,,,,,,,
Northern Atlantic coast between Newfoundland and Maine,,,,,,,,0.0,,,,,,,
Northern Europe,Q27479,Northern Europe,northern region of the European continent,"Northern Europe paintings, room A;Northern Europe paintings, room B;Northern Europe sculptures, room E;Northern European music;northern European languages",Q107540058;Q108857462;Q1535693;Q19018713;Q19018714;Q19121068;Q21200;Q27479;Q61716161;Q86911361,Germanic languages;Northern Europe;Northern European Journal of Language Technology;Northern European Paintings in the Philadelphia Museum of Art;Northern European Seas marine province;Northern European short-tailed sheep;Room 400;Room 859;Room 860;music of Northern Europe,1990 catalog of paintings in the museum by Peter C. Sutton;bio-geographic province in MEOW scheme;branch of the Indo-European language family;general type of domestic sheep;northern region of the European continent;overview of music and music traditions originating of North Europe;room in the Louvre;scientific journal,1.0,"{'type': 'label', 'language': 'en', 'text': 'Northern Europe'}",Q82794,region,,,Q46,Europe
Northern Greece,Q3563983,Northern Greece,NUTS Region of Greece,,Q28229977;Q3563983,Northern Greece;Northern Greece Naval Command,NUTS Region of Greece;military unit,1.0,"{'type': 'label', 'language': 'en', 'text': 'Northern Greece'}",Q406957,NUTS 1 statistical territorial entity,,,,
