pid,propertyLabel,propertyDescription,datatype,occurrences,file_count,sample_files,in_catalog
P795,located on linear feature,linear feature along which distance is specified from a specified datum point,wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P796,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P797,authority,entity having executive power on given entity,wikibase-item,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P798,military designation,officially assigned designation for a vehicle in military service,string,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P805,statement is subject of,(qualifying) item that describes the relation identified in this statement,wikibase-item,4,3,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P807,separated from,subject was founded or started by separating from identified object,wikibase-item,9,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P815,ITIS TSN,identifier for a taxon in the Integrated Taxonomic Information System,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P816,decays to,what isotope does this radioactive isotope decay to,wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P822,mascot,"mascot of an organization, e.g. a sports team or university",wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P823,speaker,"person who is speaker for this event, ceremony, keynote, presentation or in a literary work",wikibase-item,3,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P825,dedicated to,person or organization to whom the subject was dedicated,wikibase-item,9,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P826,tonality,key of a musical composition,wikibase-item,3,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P828,has cause,"underlying cause, entity that ultimately resulted in this effect",wikibase-item,49,16,ARCHITECTURE_IMPLEMENTATION_INDEX.md | FAST\FASTTopical.marcxml | JSON\chrystallum_schema.json | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Neo4j\FEDERATION_BACKLINK_STRATEGY.md,yes
P832,public holiday,"official public holiday that occurs in this place in its honor, usually a non-working day",wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P835,author citation (zoology),short form of the name used after a taxon this person has authored,string,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P837,day in year for periodic occurrence,when a specific holiday or periodic event occurs. It can be used as statement or qualifier,wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P838,BioLib taxon ID,identifier for a taxon in the biological encyclopedia BioLib,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P840,narrative location,the narrative of the work is set in this location,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P842,Fossilworks taxon ID,"identifier for an animal, plant, or microorganism in the Fossilworks database",external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P844,UBIGEO code,identifier for a geographical location in Peru used by the National Statistics Institute,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P847,United States Navy aircraft designation,identifier for an aircraft of the United States Navy,string,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P853,CERO rating,Japanese video game rating system,wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P854,reference URL,"should be used for Internet URLs as references. Use ""Wikimedia import URL"" (P4656) for imports from WMF sites",url,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P855,Sandbox-URL,"Sandbox property for value of type ""URL""",url,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P856,official website,"URL of the official page of an item (current or former). Usage: If a listed URL no longer points to the official website, do not remove it, but see the ""Hijacked or dead websites"" section of the Talk page",url,1,1,2-12-26-wikidata journals.md,yes
P857,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P872,printed by,"organization or person who printed the creative work (if different from ""publisher"")",wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P881,type of variable star,type of star,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P885,origin of the watercourse,"main source of a river, stream or lake",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P898,IPA transcription,transcription in the International Phonetic Alphabet,string,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P901,FIPS 10-4 (countries and regions),deprecated code for countries and regions assigned by the United States government,external-id,5,2,Subjects\LCC\lcc_P_PA_language_backbone.json | Subjects\lcc_flat.csv,yes
P906,SELIBR ID,identifier per National Library of Sweden Libris library catalog,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P915,filming location,"actual place where this scene/film was shot. For the setting, use ""narrative location"" (P840)",wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P917,GRAU index,index of Russian (and Soviet) weapons and rockets,external-id,10,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P921,main subject,primary topic of a work or act of communication,wikibase-item,17,8,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Discipline.md | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P922,magnetic ordering,magnetic ordering of a substance,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P925,presynaptic connection,neuron connects on its presynaptic end to,wikibase-item,54,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P929,color space,mathematical model describing the way colors can be represented as tuples of numbers,wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P930,type of electrification,electrification system scheme and/or voltage,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P933,Heritage NL ID,identifier of Heritage Foundation of Newfoundland and Labrador heritage property,external-id,13,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P935,Commons gallery,name of the Wikimedia Commons gallery page(s) related to this item (is suitable to allow multiple links to more gallery pages),string,6,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P937,work location,"location where persons or organisations were actively participating in employment, business or other work",wikibase-item,3,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P943,programmer,the programmer that wrote the piece of software,wikibase-item,14,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P944,code of nomenclature,code that governs the scientific name of this taxon,wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P945,allegiance,country (or other power) that the person or group serves,wikibase-item,10,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P946,ISIN,identifier for a security,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P949,National Library of Israel ID (old),"former identifier for authority control used at the National Library of Israel. Replaced with ""National Library of Israel J9U ID"" (P8189)",external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P953,work available at URL,URL of a web page containing this work,url,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P955,,,,8,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P957,ISBN-10,"former identifier for a book (edition), ten digits. Used for all publications up to 2006 (convertible to ISBN-13 for some online catalogs; useful for old books or fac-similes not reedited since 2007)",external-id,42,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P958,section,"paragraph, or other kind of special indication to find information on a page or on a document (legal texts etc.)",string,8,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P959,MSW ID,identifier from Mammal Species of the World database,external-id,6,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P961,IPNI plant ID,numerical identifier for a plant name in the International Plant Names Index,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P965,burial plot reference,"string of references which identify a specific plot in a burial area, e.g. cemetery",string,6,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P968,email address,"email address, prefixed with mailto:",url,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P974,tributary,watercourse that flows into an other one (for lake inflows use P200),wikibase-item,10,4,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P989,spoken text audio,"audio file for the spoken work or Wikipedia article, including audio descriptions",commonsMedia,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P997,,,,10,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P1000,record held,"notable record achieved by a person or entity, include qualifiers for dates held",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1001,applies to jurisdiction,"the item (institution, law, public office, public register, etc) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, etc)",wikibase-item,11,11,FAST\FASTTopical.marcxml | JSON\chrystallum_schema.json | Python\fast\key\FASTTopical_parsed.csv | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv,yes
P1003,National Library of Romania ID,identifier for authority control used at the National Library of Romania,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P1006,Nationale Thesaurus voor Auteursnamen ID,identifier for person names (not: works nor organisations) from the Dutch National Thesaurus for Author names (which also contains non-authors),external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P1008,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P1009,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P1013,criterion used,property by which a distinction or classification is made,wikibase-item,289,2,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv | Subjects\query.csv,yes
P1023,SBC-2010 occupation code,"Dutch classification of occupations SBC maintained by the Dutch CBS (Centraal Bureau voor de Statistiek), 2010 version",external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P1025,SUDOC editions,identifier in the French union catalog (see also P269),external-id,2,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P1027,conferred by,"person or organization who grants an award, certification, grant, or role",wikibase-item,3,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1028,donated by,person or organization who donated the object,wikibase-item,6,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1029,crew member,person that participated operating or serving aboard this vehicle,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1035,honorific suffix,"word or expression with connotations conveying esteem or respect when used, after a name, in addressing or referring to a person",wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P1036,Dewey Decimal Classification,"use with qualifier ""edition (P747)"" with item value ""DDC 23"" or create new item to represent the corresponding DDC edition",external-id,33,16,2-13-26-federation-impact.md | FAST\FASTTopical.marcxml | LCSH\skos_subjects\chunks\enrich_with_wikidata_authorities.py | Neo4j\IMPLEMENTATION_ROADMAP.md | Neo4j\schema\SCHEMA_BOOTSTRAP_GUIDE.md,yes
P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",wikibase-item,25,3,Relationships\relationship_types_registry_master.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1039,kinship to subject,"qualifier of ""relative"" (P1038) to indicate less usual family relationships (ancestor, son-in-law, adoptions, etc); indicate how the qualificator item is related to the main item",wikibase-item,24,3,Relationships\relationship_types_registry_master.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1040,film editor,"person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture",wikibase-item,3,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1049,worshipped by,religion or group/civilization that worships a given deity,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1053,ResearcherID,"identifier for a researcher in a system for scientific authors, redirects to a Web of Science ID, along with P3829",external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P1054,NDL Bib ID,identifier of an edition in the National Diet Library,external-id,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P1055,NLM Unique ID,identifier in the catalog of the National Library of Medicine,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P1056,product or material produced,"material or product, including services, produced or provided by an organization, industry, facility, or process",wikibase-item,19,11,JSON\chrystallum_schema.json | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv,yes
P1057,chromosome,chromosome on which an entity is localized,wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P1066,student of,person who has taught this person,wikibase-item,4,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1071,location of creation,"place where the item was conceived or made; where applicable, location of final assembly",wikibase-item,8,8,JSON\chrystallum_schema.json | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_pvalue_curation2_2026-02-13.csv,yes
P1075,rector,senior official in an educational institution.,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1078,valvetrain configuration,configuration of the valvetrain utilized by this engine,wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P1081,Human Development Index,HDI value of a country,quantity,6,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P1091,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P1135,nomenclatural status,"status of a scientific name, according to the relevant rules of nomenclature (taxonomy)",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1136,solved by,person that solved a scientific question,wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1142,political ideology,political ideology of an organization or person or of a work (such as a newspaper),wikibase-item,18,10,JSON\chrystallum_schema.json | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_pvalue_curation2_2026-02-13.csv,yes
P1144,Library of Congress item ID (LCCN bibliographic),record number for entries in the LC bibliographic catalog/OPAC (for authority records use P244),external-id,2,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P1149,Library of Congress Classification,subject classification number used in the Library of Congress Classification system; does not include the shelflisting portion assigned to individual publications,external-id,30,16,2-13-26-federation-impact.md | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | LCSH\skos_subjects\chunks\enrich_with_wikidata_authorities.py | Neo4j\IMPLEMENTATION_ROADMAP.md | Neo4j\schema\SCHEMA_BOOTSTRAP_GUIDE.md,yes
P1158,location of landing,location where the craft landed,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1194,received signal type,type of signal received by a device,wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1264,valid in period,time period when a statement is valid,wikibase-item,1,1,Subjects\query.csv,yes
P1268,represents,"organization, individual, or concept that an entity represents",wikibase-item,2,2,"Relationships\wikidata_p_catalog_candidates_2026-02-13.csv | Subjects\CIP\2-11-26-property_id,property_label,first_seen_in.csv",yes
P1269,facet of,topic of which this item is an aspect; item that offers a broader perspective on the same topic,wikibase-item,2,2,"Relationships\wikidata_p_catalog_candidates_2026-02-13.csv | Subjects\CIP\2-11-26-property_id,property_label,first_seen_in.csv",yes
P1290,godparent,person who is the godparent of a given person,wikibase-item,2,2,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1299,depicted by,"object depicting this subject (object being creative works such as books, films, paintings)",wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1310,statement disputed by,entity that disputes a given statement,wikibase-item,2,2,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1315,NLA Trove people ID,identifier for people or organizations per National Library of Australia (see also P409 for the older Libraries Australia identifier). Format: 5 to 7 digits.,external-id,2,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P1318,proved by,person who proved something,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1343,described by source,"work where this item is described, in statistical contexts, a methodological note describing the data",wikibase-item,3,2,"Relationships\wikidata_p_catalog_candidates_2026-02-13.csv | Subjects\CIP\2-11-26-property_id,property_label,first_seen_in.csv",yes
P1344,participant in,"event in which a person, organization or creative work was/is a participant; inverse of P710 or P1923",wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1345,number of victims of killer,"people killed by the subject, both legal and illegal",quantity,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P1351,number of points/goals/set scored,goals / points scored in a match or an event used as qualifier to the participant. Use P1358 for league points.,quantity,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1358,points for,number of points in a league table or decathlon. (Use P1351 for goals/points in a match),quantity,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1363,points/goal scored by,person who scored a point or goal in a game,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1365,replaces,"person, state or item replaced. Use ""structure replaces"" (P1398) for structures. Use ""follows"" (P155) if the previous item was not replaced or predecessor and successor are identical",wikibase-item,4,4,Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_pvalue_curation2_2026-02-13.csv,yes
P1366,replaced by,"other person or item which continues the item by replacing it in its role. Use P156 (""followed by"") if the item is not replaced nor identical, but adds to the series (e.g. books in a series).",wikibase-item,21,9,JSON\chrystallum_schema.json | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_pvalue_curation2_2026-02-13.csv,yes
P1378,China railway TMIS station code,identifier for a railway station used in China railway system,external-id,2,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P1382,partially coincident with,"object that partially overlaps with the subject in its instances, parts, or members",wikibase-item,3,3,Relationships\relationship_types_registry_master.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1383,contains settlement,settlement which an administrative division contains,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1387,political alignment,political position within the left–right political spectrum,wikibase-item,6,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1398,structure replaces,"the item this building or structure replaced, at the same geographic location",wikibase-item,1,1,Relationships\relationship_types_registry_master.csv,yes
P1399,convicted of,crime a person or organization was convicted of,wikibase-item,14,11,JSON\chrystallum_schema.json | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv,yes
P1408,licensed to broadcast to,place that a radio/TV station is licensed/required to broadcast to,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1412,"languages spoken, written or signed","language(s) that a person or a people speaks, writes or signs, including the native language(s)",wikibase-item,18,11,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | JSON\chrystallum_schema.json | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv,yes
P1416,affiliation,organization that a person or organization is affiliated with (not necessarily member of or employed by),wikibase-item,1,1,md\Architecture\Wikidata_SPARQL_Patterns.md,yes
P1419,shape,shape of an object,wikibase-item,1,1,"Subjects\CIP\2-11-26-property_id,property_label,first_seen_in.csv",yes
P1424,topic has template,the main template relating to a topic,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1425,ecoregion (WWF),ecoregion of the item (choose from WWF's list),wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1428,Lost Art ID,identifier on the German Lost Art Foundation website,external-id,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1429,has pet,pet that a person owns,wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1433,published in,"larger work that a given work was published in, like a journal, a website, a collection, a book or a music album",wikibase-item,3,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1435,heritage designation,heritage designation of a cultural or natural site,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1441,present in work,"this (fictional or fictionalized) entity, place, or person appears in that work as part of the narration (use P2860 for works citing other works, P361/P1433 for works being part of other works, P1343 for entities described in non-fictional accounts)",wikibase-item,21,6,ARCHITECTURE_IMPLEMENTATION_INDEX.md | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Neo4j\FEDERATION_BACKLINK_STRATEGY.md | Neo4j\IMPLEMENTATION_ROADMAP.md | Neo4j\schema\SCHEMA_BOOTSTRAP_GUIDE.md,yes
P1448,official name,official name of the subject in its official language(s),monolingualtext,18,11,JSON\chrystallum_schema.json | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv,yes
P1454,legal form,legal form of an entity,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1476,title,"published name of a work, such as a newspaper article, a literary work, piece of music, a website, or a performance work",monolingualtext,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1479,has contributing factor,"thing that significantly influenced, but did not directly cause, this outcome or effect. Used in conjunction with 'has cause' and 'has immediate cause'. See '[[Help:Modeling causes]]'.",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1531,hybrid of,parent of this hybrid breed or cultivar,wikibase-item,3,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1534,end cause,qualifier used together with the end date qualifier (P582) to specify the reason for the end,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1535,used by,item or concept that makes use of the subject (use sub-properties when appropriate),wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1537,contributing factor of,"thing that is significantly influenced by this cause, but does not directly result from it. See 'Help:Modeling causes' for examples and discussion.",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1538,number of households,"total number of households in this place, includes dwellings of all types",quantity,1,1,"Subjects\CIP\2-11-26-property_id,property_label,first_seen_in.csv",yes
P1539,female population,number of female people inhabiting the place; number of female people of subject,quantity,1,1,"Subjects\CIP\2-11-26-property_id,property_label,first_seen_in.csv",yes
P1540,male population,number of male people inhabiting the place; number of male people of subject,quantity,1,1,"Subjects\CIP\2-11-26-property_id,property_label,first_seen_in.csv",yes
P1542,has effect,effect of this item,wikibase-item,2,2,Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1584,Pleiades ID,identifier for a place in Pleiades hosted at pleiades.stoa.org,external-id,7,4,2-13-26-federation-impact.md | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Neo4j\IMPLEMENTATION_ROADMAP.md | Neo4j\schema\SCHEMA_BOOTSTRAP_GUIDE.md,yes
P1595,charge,"offence with which someone is charged, at a trial",wikibase-item,3,2,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1596,penalty,penalty imposed by an authority,wikibase-item,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P1639,pendant of,"other work in a pair of opposing artworks, such as wedding portraits, commissioned together, but not always",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1642,acquisition transaction,how the player was acquired; qualifier for P54 (member of sports team),wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1656,unveiled by,"person who unveils a statue, sculpture, memorial or plaque, etc.",wikibase-item,3,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1659,related property,used to indicate another property that might provide additional information about the subject,wikibase-property,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P1660,has index case,initial patient in the population of an epidemiological investigation,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1667,Getty Thesaurus of Geographic Names ID,identifier in the Getty Thesaurus of Geographic Names,external-id,6,5,2-13-26-federation-impact.md | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Neo4j\IMPLEMENTATION_ROADMAP.md | Neo4j\schema\SCHEMA_BOOTSTRAP_GUIDE.md | Subjects\federation.md,yes
P1677,index case of,"primary case, patient zero: initial patient in the population of an epidemiological investigation",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P1683,quotation,"quotation supporting the statement claim (to be used in the reference or qualifier field only, no quote marks)",monolingualtext,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
